fitur 1,fitur 2,fitur 3,fitur 4,fitur 5,fitur 6,fitur 7,fitur 8,fitur 9,fitur 10,fitur 11,fitur 12,fitur 13,fitur 14,fitur 15,fitur 16,fitur 17,fitur 18,fitur 19,fitur 20,fitur 21,fitur 22,fitur 23,fitur 24,fitur 25,fitur 26,fitur 27,fitur 28,fitur 29,fitur 30,fitur 31,fitur 32,fitur 33,fitur 34,fitur 35,fitur 36,fitur 37,fitur 38,fitur 39,fitur 40,fitur 41,fitur 42,fitur 43,fitur 44,fitur 45,label
9.90473383,0.038690366,0.049084675,15.78636879,0.0616655,0.010179169,13.40217383,0.052352242,0.034139317,91.102752,73.24918595,1.062283636,5.642857437,123.03118,73.27957527,0.684922385,3.16874453,152.112528,78.57024364,0.330544473,10.21081335,27.03559596,25.55846368,18.28912727,24.20108042,0.83792199,0.855749799,0.923612092,0.862962963,0.073199394,0.075691017,0.102714476,0.084800605,1760.135653,1567.943951,828.2918343,1489.648816,9.17E-05,9.36E-05,0.00014231,0.000107999,0.009576741,0.00967275,0.011929369,0.010392251,Bakso
10.1839942,0.039781228,0.048204813,15.77419607,0.06161795,0.010463167,8.378558062,0.03272874,0.053245466,99.787652,70.91131532,0.529818989,2.075936888,122.061792,72.31069789,0.04738665,1.491485671,150.576276,77.45028763,-0.062237173,-0.758788871,24.72904646,24.93714636,23.35682424,28.04675306,0.852734128,0.847932154,0.858991432,0.814099439,0.087746208,0.090905183,0.104194614,0.078923201,1565.804861,1621.148596,1506.915766,1981.707694,0.000127997,0.000132717,0.000147816,0.00011284,0.011313591,0.011520265,0.012157954,0.010622624,Bakso
11.71305209,0.045754112,0.04257712,15.60928105,0.060973756,0.013727764,15.50322305,0.060559466,0.0154532,116.772812,79.24938383,-1.483687728,5.5985588,128.240644,74.19653592,-1.427231214,5.274942866,132.745124,71.82321983,-1.235517084,5.463229087,23.80193939,22.66109521,18.14876364,23.08126301,0.864399362,0.873436419,0.9072716,0.867456196,0.119864294,0.12972874,0.168581097,0.126840418,1458.801374,1361.456084,1003.728667,1425.768958,0.000198507,0.000217418,0.000285385,0.00020654,0.014089259,0.014745091,0.01689333,0.0143715,Bakso
5.996351776,0.02342325,0.057944816,13.55799028,0.052960902,0.03318724,12.99215822,0.050750617,0.036477733,109.678732,81.51012712,-1.021009346,7.716261299,124.876468,73.07493858,-0.852960268,5.822169667,144.46238,73.05819823,-0.622348382,2.715550222,31.4817899,31.58904705,31.83839192,33.80117147,0.760193173,0.758190489,0.750377035,0.73114698,0.097407796,0.09045289,0.097310528,0.081828328,2533.453733,2554.610737,2636.828145,2839.939024,0.000200107,0.000189873,0.00020292,0.000173726,0.014145905,0.013779451,0.014244999,0.013180518,Bakso
8.087379682,0.031591326,0.05392808,15.88642043,0.06205633,0.007433833,15.46266323,0.06040103,0.016061317,116.141096,81.92301081,-0.923044703,213.143495,126.731288,74.8132506,-1.423428931,320.9516044,136.42234,70.77366341,-1.270572491,227.8914588,37.82081616,40.47654624,31.2491798,40.82194248,0.689935632,0.673420032,0.787457487,0.667022603,0.057629058,0.052231386,0.0887338,0.05308324,3348.886416,3535.361659,2297.561107,3604.543221,7.95E-05,7.19E-05,0.000121214,7.38E-05,0.008913916,0.008477297,0.011009718,0.008589779,Bakso
7.934205342,0.030992988,0.054274164,15.39653198,0.060142703,0.017003104,14.26385647,0.055718187,0.0283149,104.794296,79.58551103,-0.385124777,1.56762457,125.603084,75.58127354,-0.64429484,-0.164644313,142.899232,71.43886313,-0.314429338,2.74137154,28.78618182,28.53646917,26.75303838,31.48244423,0.805275097,0.801445171,0.82347781,0.775654508,0.109473919,0.103648937,0.120210432,0.093752476,2093.069632,2124.133943,1887.717402,2399.999882,0.000160915,0.00015503,0.000177738,0.000139496,0.012685228,0.01245109,0.013331854,0.011810858,Bakso
9.529417186,0.037224285,0.0502056,14.82847343,0.057923727,0.02347535,14.48455803,0.056580305,0.026550312,115.620376,84.11742215,-0.900091368,7.600884959,126.854332,75.6956495,-0.743451696,11.9110947,136.523032,67.08764522,-0.340155929,0.222270294,21.21134141,20.99517105,18.96853737,20.64612058,0.866796835,0.859236565,0.878859127,0.876986587,0.136686899,0.14596665,0.169265779,0.139141116,1432.991511,1510.40825,1303.308739,1319.833962,0.000351278,0.000365232,0.000432861,0.000370551,0.018742401,0.019111041,0.020805313,0.019249703,Bakso
6.591154476,0.025746696,0.056950487,14.72426903,0.057516675,0.024455715,14.93745095,0.05834942,0.022396324,113.839508,86.29687201,-0.177860899,0.185644816,127.513604,75.30733313,-0.658272423,5.289455316,137.650528,65.75964213,-0.62224474,5.158258287,32.52786667,32.4617342,29.72395152,33.12736164,0.769626643,0.768278491,0.797664712,0.760999326,0.0901248,0.091925559,0.106937278,0.086370265,2459.604303,2478.818361,2159.315079,2556.602664,0.000224343,0.000225777,0.000253414,0.000207196,0.014978093,0.015025873,0.01591899,0.01439432,Bakso
11.83847599,0.046244048,0.04204448,14.9368434,0.058347043,0.022402512,15.09771119,0.058975432,0.020691741,96.960056,75.41041427,-0.013688941,2.295712438,124.619456,75.82714534,-0.119848555,-0.427212173,146.792056,75.39497871,-0.082609721,0.503341799,37.75282828,37.53167274,32.14770101,39.34005918,0.691509404,0.695584162,0.760444928,0.668062188,0.062393835,0.059493526,0.087052138,0.06358107,3344.258048,3293.917469,2595.946756,3591.908851,8.25E-05,7.57E-05,0.000116734,8.30E-05,0.009084152,0.008701293,0.010804363,0.00911149,Bakso
10.7619517,0.042038873,0.046249133,15.44647784,0.060337804,0.016297214,15.1482699,0.059172932,0.020120004,111.280408,86.65994103,1.166131671,41.39866534,128.308968,75.59105504,0.710195659,29.79888016,134.282624,68.5696378,0.766968309,2.368587356,20.88595556,21.49941061,16.93140606,20.64526697,0.891592127,0.887552575,0.926633255,0.894279207,0.130164613,0.127412153,0.166394144,0.126896936,1171.276259,1215.823796,795.4325293,1143.061443,0.000210707,0.000224009,0.000267266,0.000206328,0.014515765,0.014966946,0.016348281,0.014364117,Bakso
13.54386403,0.05290572,0.033275142,15.11088797,0.059026908,0.020544447,14.23685352,0.05561271,0.028521514,111.833872,74.00486223,1.343285468,10.83112112,123.674504,75.43451754,1.26571907,13.53109961,144.22702,70.41050849,1.803458487,16.25896802,23.25325253,23.80179744,20.94852121,24.56424379,0.840707731,0.836911636,0.86762596,0.824655084,0.140586086,0.134288238,0.162797724,0.135813798,1707.778877,1757.391702,1425.447139,1889.514889,0.000751932,0.00073464,0.000880546,0.000716657,0.027421386,0.027104248,0.029673989,0.026770448,Bakso
8.877802464,0.034678914,0.051996373,15.30204284,0.059773605,0.018258313,9.298350954,0.036321685,0.050862417,100.867692,74.01293127,-0.301359495,-0.576847699,122.764652,72.6297821,-0.619820493,4.992823206,149.598152,76.36779954,-0.92146138,9.20350966,22.57016162,20.57539347,18.40606869,23.71528681,0.868920594,0.886162997,0.905758945,0.856425232,0.11629191,0.124078864,0.149679016,0.106157599,1412.508618,1230.019999,1020.230756,1551.24409,0.000251163,0.000280176,0.000305043,0.000225992,0.015848128,0.01673845,0.017465478,0.015033015,Bakso
8.206167867,0.03205534,0.053653568,15.46080055,0.06039375,0.016088657,13.7341585,0.05364906,0.03206289,100.990784,78.83619511,-0.457115355,-0.659866773,124.843104,75.28517038,-0.286368966,1.145065929,145.390232,74.73862904,-0.852491887,9.204963386,31.77589091,29.73067199,23.2660202,30.27650234,0.781531993,0.80225541,0.864110475,0.797588906,0.067556548,0.074747013,0.109285423,0.070984449,2346.1092,2119.642174,1454.992921,2169.576792,7.95E-05,8.55E-05,0.000121521,8.47E-05,0.008918755,0.009245586,0.011023655,0.009205057,Bakso
11.01158251,0.043013997,0.045343645,15.16706564,0.05924635,0.01990277,8.29962209,0.0324204,0.05343377,112.0514,80.82964955,0.936613779,10.53662726,116.700928,73.98173794,0.032853953,13.30725015,155.790512,78.75402153,-0.370347602,4.116136592,30.66174545,29.80222831,20.12069899,28.06250406,0.79775728,0.813735139,0.906669226,0.826873417,0.060751837,0.063509049,0.101956853,0.067593305,2175.802473,2006.854924,1002.981329,1865.259199,7.30E-05,7.63E-05,0.000125708,8.11E-05,0.008545875,0.008734094,0.011211952,0.009007041,Bakso
4.412913302,0.017237943,0.06007581,14.74981039,0.057616446,0.024219722,14.88175992,0.058131874,0.022955067,95.888784,81.88439269,-0.979555238,5.480817038,127.025652,76.31807504,-1.114307107,9.639485086,146.539472,64.7192518,-1.195666113,14.2855601,41.7250303,37.4846636,25.50892121,39.18115488,0.668714415,0.721893537,0.85351691,0.700478995,0.049723838,0.057470787,0.098981794,0.054346319,3495.869741,2931.375744,1542.717325,3157.38267,0.000119797,0.000135294,0.000221033,0.000129966,0.010945195,0.011631599,0.014867182,0.011400271,Bakso
3.626264311,0.014165095,0.06087364,8.621483143,0.033677667,0.052650392,8.345798023,0.03260077,0.053323917,77.132216,76.43166846,0.610901538,8.73971405,113.952284,80.31187852,0.186914745,4.437732632,177.139768,62.64815784,0.058988653,0.98508818,26.53919192,28.22043282,25.16489697,26.52312451,0.836694313,0.816367129,0.851403997,0.840035543,0.081053388,0.075865041,0.079738761,0.079670117,1697.312792,1910.969945,1548.955968,1664.663603,9.04E-05,8.35E-05,9.54E-05,9.31E-05,0.009505879,0.009137113,0.009766814,0.009647098,Bakso
5.581932759,0.021804426,0.05857317,14.77982824,0.057733707,0.023938866,14.87697137,0.05811317,0.023002379,97.386836,83.91064234,-0.377333484,1.008274644,126.893576,74.69918512,-0.214621861,2.650400625,143.760876,68.35686915,-0.270452783,1.925930498,18.17302222,17.65537201,14.23890101,18.9564947,0.869945541,0.878394419,0.917973117,0.863221046,0.195631796,0.188640604,0.221373991,0.186954355,1394.942638,1301.939451,878.5488646,1464.381426,0.000403789,0.000372136,0.000441429,0.000369118,0.020094506,0.019290828,0.021010207,0.019212456,Bakso
10.96098274,0.04281634,0.04553033,15.88450137,0.06204883,0.007496129,15.15771602,0.059209827,0.020011155,112.87736,77.80891121,0.084480116,0.402529234,126.166724,74.57768668,-0.076436201,3.768409662,138.173836,71.74341888,-0.053120534,2.416301314,25.31030707,26.1697288,22.81587071,25.75174785,0.858987017,0.853307826,0.882610897,0.854331783,0.077727404,0.072292465,0.083384101,0.075389187,1523.545143,1583.060508,1266.987119,1571.911494,0.000116739,0.00011115,0.000127451,0.000113644,0.010804581,0.010542771,0.011289412,0.01066039,Bakso
11.25661765,0.043971162,0.04441606,15.73985722,0.061483815,0.011224549,15.41025267,0.060196295,0.016812354,102.302524,78.34892149,0.25030927,11.92126738,128.228456,73.9624535,0.071429943,2.203189874,137.901176,74.04253692,-0.073230287,1.04069268,23.04904646,20.42739903,13.18047677,21.42126528,0.866146087,0.892635639,0.949707325,0.878329775,0.105336701,0.106755423,0.165983469,0.113805105,1449.725038,1160.929927,543.6956525,1315.648811,0.000138639,0.000148481,0.000224635,0.000144844,0.011774519,0.012185267,0.014987821,0.012035124,Bakso
