fitur 1,fitur 2,fitur 3,fitur 4,fitur 5,fitur 6,fitur 7,fitur 8,fitur 9,fitur 10,fitur 11,fitur 12,fitur 13,fitur 14,fitur 15,fitur 16,fitur 17,fitur 18,fitur 19,fitur 20,fitur 21,fitur 22,fitur 23,fitur 24,fitur 25,fitur 26,fitur 27,fitur 28,label
125.4225561,73.6992259,0.671163909,-1.5,16.25197097,17.21047099,14.50218502,16.16389009,0.925616973,0.922395033,0.943014785,0.925212309,0.111353334,0.10242159,0.119274134,0.112630014,691.9867352,722.6639955,530.1584321,696.4525499,0.000137626,0.00012729,0.000155698,0.000142508,0.011731401,0.011282307,0.0124779,0.011937651,bakso
112.6325359,52.97741779,-0.256135327,-1.5,14.73265448,16.5905762,17.10863636,18.67233621,0.879563292,0.846380438,0.835786333,0.815083293,0.118769885,0.114013079,0.109017159,0.09554388,554.6284288,710.0163601,760.8024397,854.6267688,0.000128922,0.000121757,0.000115002,0.000101288,0.011354371,0.011034369,0.010723879,0.01006419,bakso
124.6505903,53.14693749,-0.469015803,-1.5,12.75880108,13.74722234,13.31450472,14.0741575,0.913843696,0.901196056,0.902438887,0.893554164,0.159160255,0.151170117,0.168038975,0.150422207,453.1915376,519.3790176,514.8023266,559.5339058,0.000209417,0.000188998,0.0002125,0.000186493,0.014471262,0.013747648,0.014577378,0.013656227,bakso
142.469597,52.46251298,-0.69686901,-1.5,18.3841833,20.70696491,21.75956212,21.80602107,0.798684242,0.747138956,0.721478044,0.722393755,0.125202711,0.106922179,0.106076393,0.099288166,863.2478114,1081.478552,1190.307524,1187.042469,0.000195995,0.000164972,0.000170739,0.000154752,0.013999832,0.01284415,0.013066711,0.012439938,bakso
151.571136,56.8111193,0.706796478,-1.5,27.67450947,32.56962488,28.40199914,32.47506186,0.708970701,0.636147485,0.7036736,0.63521066,0.063951823,0.052666629,0.074503206,0.053283078,1830.919157,2300.4265,1871.351186,2306.29354,6.71E-05,5.61E-05,7.34E-05,5.64E-05,0.00819432,0.007491051,0.008566239,0.007508825,bakso
130.3728043,59.51943885,0.220117676,-1.5,13.29637474,13.33224529,12.35045656,14.64736736,0.913625392,0.912127031,0.923155093,0.900455427,0.169921414,0.162816259,0.188039729,0.150367874,507.5294675,514.1445982,449.9905238,582.4257545,0.00020565,0.000192245,0.000222388,0.000177828,0.014340516,0.013865238,0.01491267,0.013335233,bakso
126.1431893,52.2340157,-0.300436659,-1.5,12.52674899,13.92444921,13.74273131,13.50139724,0.887537538,0.85774244,0.861192863,0.874783782,0.203183886,0.197884716,0.204200915,0.192133858,547.0264,689.9474698,673.8624835,607.2599104,0.000405808,0.000383225,0.000413427,0.000393019,0.020144686,0.019576133,0.020332896,0.019824712,bakso
174.7712198,50.84799575,0.607090051,-1.5,10.83964375,12.18118705,11.75563893,12.11881551,0.906476911,0.88468767,0.892119088,0.889100528,0.226551026,0.209356673,0.216625464,0.200421114,363.7075329,448.9740097,419.6948144,431.7916337,0.000433912,0.000379537,0.000390996,0.000354406,0.020830562,0.019481714,0.019773619,0.018825667,bakso
134.8600004,74.25822461,0.075720261,-1.5,45.27082785,47.76061177,46.39771674,50.31493642,0.602745677,0.569632289,0.581154649,0.525331972,0.056977195,0.049389695,0.061245457,0.054628763,4709.975967,5085.345354,4962.34195,5609.344764,7.53E-05,6.10E-05,8.21E-05,7.17E-05,0.008676732,0.007812919,0.00905885,0.008470369,bakso
114.9196467,64.59309983,0.646294735,-1.5,3.14757045,3.806566618,3.509782885,3.592237783,0.995154324,0.993274125,0.994212971,0.993741973,0.396523351,0.35802169,0.378101279,0.367653099,34.45581568,47.83071543,41.17679293,44.50359853,0.000657945,0.000563108,0.000587133,0.000559148,0.025650443,0.023729904,0.024230827,0.023646315,bakso
113.2957581,66.69969057,0.497431166,-1.5,18.73887577,22.78216645,22.38704225,23.81898806,0.869143967,0.818110669,0.814266385,0.802211704,0.176400001,0.156636347,0.168220942,0.157986486,1176.997747,1648.301485,1681.186162,1792.392119,0.000806688,0.000668237,0.000730787,0.000665257,0.02840226,0.025850283,0.027033067,0.025792576,bakso
133.7183058,52.81982309,0.70665165,-1.5,12.53722222,13.83775882,14.83915493,15.85534591,0.900906648,0.888810613,0.869033122,0.848874248,0.159039748,0.138883767,0.138357596,0.127150852,457.4237664,516.3977281,610.6059859,701.8400378,0.000266028,0.000230402,0.000214339,0.000198487,0.016310368,0.015178988,0.014640308,0.01408854,bakso
125.3477205,65.72425095,0.669573689,-1.5,16.23657037,17.80340085,17.187856,17.90796932,0.90365306,0.884799187,0.887784169,0.882955445,0.104594264,0.098977585,0.112800815,0.09684453,693.0936495,826.8919602,804.8113947,840.1086355,9.24E-05,8.47E-05,9.41E-05,8.38E-05,0.009614998,0.009201106,0.009698236,0.009155511,bakso
133.2510579,69.6773751,-0.636687273,-1.5,12.59076651,13.25163724,10.71207768,11.52212755,0.944374429,0.940978848,0.957807893,0.948164136,0.123705981,0.119832338,0.152165636,0.141662611,421.5601225,447.6490404,319.805315,393.150655,0.000118032,0.000111594,0.000144233,0.000139111,0.010864235,0.010563806,0.01200972,0.011794547,bakso
137.7943508,50.40841748,0.582110468,-1.5,19.22989132,18.77128618,16.93530077,19.78492816,0.750618941,0.754727733,0.794540742,0.736945418,0.079497212,0.08577945,0.101514382,0.079447997,808.2992948,794.2974703,667.1434173,852.1242834,0.000133985,0.000140094,0.000163169,0.000135412,0.01157517,0.011836126,0.012773755,0.011636645,bakso
119.9783271,72.3487364,-0.292631315,-1.5,19.70570932,21.17671738,19.39622154,20.03727527,0.858939644,0.839473182,0.864124878,0.857371831,0.085327819,0.07851744,0.080931516,0.080146121,911.6868907,1038.687687,880.4928805,922.8745209,7.44E-05,6.85E-05,7.42E-05,7.14E-05,0.008627737,0.008276387,0.008611927,0.008452574,bakso
158.5935182,63.32828395,0.612979914,-1.5,7.059491285,8.133645864,7.999052666,8.796930001,0.952964704,0.94609114,0.952509424,0.939444104,0.383263592,0.312951516,0.311953447,0.305952341,308.5639575,352.2190275,310.7706021,395.6479418,0.0007562,0.000534475,0.000532154,0.00052904,0.027499092,0.023118708,0.023068469,0.023000875,bakso
111.1904188,50.69887521,0.104516132,-1.5,8.883237745,10.25357419,9.691354712,10.08313932,0.956392983,0.942048678,0.947762241,0.944043105,0.155634797,0.132503398,0.140835893,0.134690592,200.7387557,266.4536962,240.1459228,257.2804101,0.0001825,0.000157528,0.000166458,0.000157859,0.013509273,0.012551014,0.012901849,0.012564199,bakso
125.6205442,65.87895743,-0.674825624,-1.5,13.71188428,13.38255542,11.27491414,14.12622589,0.927949769,0.932174591,0.948900297,0.921103342,0.156349309,0.141474415,0.174203861,0.149754033,559.6487296,525.6856586,395.9089141,611.5033991,0.000168906,0.000161273,0.000193361,0.000159698,0.012996373,0.012699327,0.013905444,0.012637179,bakso
103.0806222,60.57799278,0.704096946,-1.5,11.01195478,11.93369018,10.74879396,11.81495852,0.940303243,0.932516307,0.942859101,0.928140296,0.195527116,0.165719939,0.188162816,0.180519547,354.6185159,400.4666065,340.3213104,426.4062617,0.000242751,0.00021184,0.000243681,0.000226339,0.015580453,0.014554718,0.015610292,0.015044563,bakso
119.2395414,56.24853394,-0.0838527,-1.5,22.52691217,23.64513227,21.84259837,23.41386515,0.74798411,0.722930716,0.766488299,0.736671421,0.078408234,0.077770844,0.079861311,0.071363779,1119.253464,1228.988919,1038.0483,1168.222574,9.86E-05,9.66E-05,0.000102373,9.29E-05,0.009928441,0.009829319,0.010117932,0.009638941,bakso
106.8018436,54.94397761,-0.612431109,-1.5,10.84112774,10.99821208,10.03590177,11.00829975,0.930591232,0.932270196,0.940888234,0.930835338,0.155679034,0.151448828,0.172923565,0.147352942,374.0497442,364.3032427,318.3473317,372.0211445,0.000177066,0.000170066,0.000189332,0.000169444,0.013306621,0.013040926,0.013759783,0.013017063,bakso
127.733842,72.63424795,0.564769428,-1.5,17.55590797,17.90334391,17.51412894,19.3323667,0.870018152,0.863592314,0.873525561,0.851843165,0.122201041,0.117687116,0.117828156,0.103096049,863.8661442,904.7197426,839.3251033,982.6675591,0.000124027,0.000113077,0.000120533,0.000108013,0.011136759,0.01063375,0.010978769,0.010392922,bakso
